,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,页数
2,《The Essential Mariah Carey》,SONY MUSIC,2011-01-10,天籁,人声,Emotions (Album Version),Mariah Carey,http://musicdata.baidu.com/data2/lrc/114539732/114539732.lrc,2
2,《The Essential Mariah Carey》,SONY MUSIC,2011-01-10,天籁,人声,I Don't Wanna Cry (Album Version),Mariah Carey,http://musicdata.baidu.com/data2/lrc/114539737/114539737.lrc,2
2,《The Essential Mariah Carey》,SONY MUSIC,2011-01-10,天籁,人声,Someday (Album Version),Mariah Carey,http://musicdata.baidu.com/data2/lrc/114539872/114539872.lrc,2
2,《The Essential Mariah Carey》,SONY MUSIC,2011-01-10,天籁,人声,Love Takes Time (Album Version),Mariah Carey,http://musicdata.baidu.com/data2/lrc/114539743/114539743.lrc,2
2,《The Essential Mariah Carey》,SONY MUSIC,2011-01-10,天籁,人声,Vision Of Love (Album Version),Mariah Carey,http://musicdata.baidu.com/data2/lrc/114539752/114539752.lrc,2
2,《Composers On Broadway》,SONY MUSIC,2011-01-10,天籁,人声,Mister Snow,Sarah Brightman,http://musicdata.baidu.com/data2/lrc/114539752/114539752.lrc,2
2,《Beauty And The Beast (Special Edition)》,SONY MUSIC,2011-01-10,天籁,人声,Beauty And The Beast,"Celine Dion,Peabo Bryson",http://musicdata.baidu.com/data2/lrc/239103487/239103487.lrc,2
2,《Be My Love》,SONY MUSIC,2011-01-10,天籁,人声,My Heart And I [La Piovra],Hayley Westenra,http://musicdata.baidu.com/data2/lrc/12616342/12616342.lrc,2
2,《Be My Love》,SONY MUSIC,2011-01-10,天籁,人声,Guardami,Sarah Brightman,http://musicdata.baidu.com/data2/lrc/12616342/12616342.lrc,2
2,《Elements—热唱歌曲》,环球唱片,2009-12-28,天籁,人声,约定,王菲,http://musicdata.baidu.com/data2/lrc/10525679/10525679.lrc,2
2,《Maid In Manhattan - Music From The Motion Picture》,SONY MUSIC,2003-03-25,天籁,人声,Kathy'S Song,Eva Cassidy,http://musicdata.baidu.com/data2/lrc/12615383/12615383.lrc,2
2,《王菲 89-97 32精选》,环球唱片,2009-07-14,天籁,人声,无奈那天,王菲,http://musicdata.baidu.com/data2/lrc/987232/987232.lrc,2
2,《王菲 89-97 32精选》,环球唱片,2009-07-14,天籁,人声,约定,王菲,http://musicdata.baidu.com/data2/lrc/987148/987148.lrc,2
2,《王靖雯》,环球唱片,1989-11-02,天籁,人声,有缘的话,王菲,http://musicdata.baidu.com/data2/lrc/67643832/67643832.lrc,2
3,《但愿人长久》,环球唱片,1999-06-01,天籁,人声,你在我心中,王菲,http://musicdata.baidu.com/data2/lrc/976068/976068.lrc,3
